title,year,count,tmdb_id
Frankenhooker,1990,15,27274
Frankenstein,1931,5,3035
Freaky,2020,11,551804
Freddy vs. Jason,2003,23,6466
Freddy's Dead: The Final Nightmare,1991,6,11284
Fresh,2022,7,787752
Friday the 13th,1980,10,4488
Friday the 13th,2009,14,13207
Friday the 13th Part 2,1981,9,9725
Friday the 13th Part 3,1982,12,9728
Friday the 13th Part VI: Jason Lives,1986,18,10225
Friday the 13th Part VII: The New Blood,1988,16,10281
Friday the 13th Part VIII: Jason Takes Manhattan,1989,20,10283
Friday the 13th: A New Beginning,1985,22,9731
Friday the 13th: The Final Chapter,1984,14,9730
Frogs,1972,11,18274
From Dusk Till Dawn,1996,145,755
From Dusk Till Dawn 2: Texas Blood Money,1999,63,12095
Frozen,2010,3,44363
Garden of Love,2003,26,12601
Get Out,2017,7,419430
Graduation Day,2015,9,450254
Gremlins,1984,160,927
Gremlins 2,1990,484,928
Grim Reaper,2007,9,34784
Grindhouse: Double Feature,2007,310,285923
Grindhouse: Planet Terror,2007,281,1992
Gutterballs,2008,13,16915
Hack-O-Lantern,1988,8,95114
Halloween,1978,5,948
Halloween,2007,22,2082
Halloween,2018,17,424139
Halloween 4: The Return of Michael Myers,1988,16,11357
Halloween 5: The Revenge of Michael Myers,1989,20,11361
Halloween Ends,2022,18,616820
Halloween H20,1998,6,11675
Halloween II,1981,10,11281
Halloween II,2009,19,24150
Halloween III: Season of the Witch,1982,28,10676
Halloween Kills,2021,30,610253
Halloween: Resurrection,2002,10,11442
Halloween: The Curse of Michael Myers,1995,17,10987
Hannibal,2001,15,9740
Hannibal Rising,2007,62,1248
Happy Birthday to Me,1981,9,37936
Happy Death Day,2017,20,440021
Happy Death Day 2U,2019,20,512196
Hatchet,2006,11,11908
Haunt,2019,11,517116
Hazard Jack,2014,10,280127
He's Out There,2018,2,431185
Hell Fest,2018,6,429476
Hell House LLC,2015,20,359246
Hell of a Summer,2025,8,999243
Hellbound: Hellraiser II,1988,30,9064
Hello Mary Lou: Prom Night II,1987,7,39929
Hellraiser,1987,7,9003
Hellraiser III: Hell on Earth,1992,358,11569
Hellraiser: Bloodline,1996,16,8766
Hereditary,2018,4,493922
Hobo with a Shotgun,2011,52,49010
Holla If I Kill You,2003,9,146163
Holla if You Hear Me,2006,15,250425
Home Sweet Home,1981,9,83329
Host,2020,8,723072
Hostel,2005,23,1690
Hostel: Part II,2007,19,1691
Hostel: Part III,2011,12,71670
Hotline,1982,7,139404
House,1985,11,11415
House of 1000 Corpses,2003,14,2662
House of the Dead,2003,141,11059
House on Haunted Hill,1999,30,11377
Hush,2016,3,376570
I Know How Many Runs You Scored Last Summer,2008,12,22637
I Know What You Did Last Summer,1997,6,3597
I Still Know What You Did Last Summer,1998,10,3600
I'll Always Know What You Did Last Summer,2006,6,3602
Ice Cream Man,1995,9,44470
Ice Road Terror,2011,14,74328
Iced,1989,6,83283
Idle Hands,1999,16,6552
Immaculate,2024,8,1041613
In A Violent Nature,2024,8,1214509
In the Mouth of Madness,1995,5618682132,2654
Inbred,2011,18,82743
Inferno,1999,14,10908
Influencer,2023,2,1020910
Intruder,1989,8,31150
Invasion of the Body Snatchers,1978,49,11850
IT,2017,31,346364
It Follows,2014,2,270303
It's A Wonderful Knife,2023,14,1113278
It: Chapter Two,2019,8,474350
Jack Brooks: Monster Slayer,2007,15,16205
Jack Frost,1997,10,27318
Jack Frost 2: Revenge of the Mutant Killer Snowman,2000,33,27320
Jason Goes to Hell: The Final Friday,1993,24,10285
Jason X,2001,25,11470
Jaws,1975,6,578
Jaws 2,1978,7,579
Jaws 3D,1983,5,17692
Jaws: The Revenge,1987,2,580
Jeepers Creepers,2001,28,8922
Jennifer's Body,2009,18,19994
Jigsaw,2017,16,298250
John Dies at the End,2013,33,75761
Jurassic Park,1993,5,329
Jurassic Park III,2001,6,331
Jurassic World,2015,23,135397
Jurassic World Dominion,2022,7,507086
Jurassic World: Fallen Kingdom,2018,19,351286
Kill Game,2017,14,371003
Killer Klowns from Outer Space,1988,40,16296
Killer Waves,2016,35,435414
Klown Kamp Massacre,2010,28,251124
Krampus,2015,12,287903
Laid to Rest,2009,39,17618
Land of the Dead,2005,217,11683
Late Night With The Devil,2024,15,938614
Leatherface,2017,21,300665
Leatherface: The Texas Chainsaw Massacre III,1990,7,25018
Legion,2010,126,22894
Leprechaun,1993,4,11811
Leprechaun 2,1994,6,18009
Leprechaun 3,1995,8,19286
Leprechaun 4: In Space,1996,9,19287
Leprechaun in the Hood,2000,10,18011
Leprechaun Origins,2014,8,126172
Leprechaun Returns,2018,6,518158
Leprechaun: Back 2 Tha' Hood,2003,11,19288
Lisa Frankenstein,2024,5,993784
